,artist,painting,code,style,style_code
1340,sergey-solomko,moscow-in-the-xii-century.jpg,0,Art Nouveau (Modern),7
1341,sergey-solomko,idyll.jpg,0,Art Nouveau (Modern),7
1342,sergey-solomko,new-russia-sow-a-reasonable-good-eternal.jpg,0,Art Nouveau (Modern),7
1343,sergey-solomko,age-scythian-tsarevna-iii-th-century-bc.jpg,0,Art Nouveau (Modern),7
1344,sergey-solomko,blessed-be-the-house-where-a-stork-nested-1917.jpg,0,Art Nouveau (Modern),7
1345,sergey-solomko,seducer-1.jpg,0,Art Nouveau (Modern),7
1346,sergey-solomko,returning-from-matins.jpg,0,Art Nouveau (Modern),7
1347,sergey-solomko,young-woman-in-hat.jpg,0,Art Nouveau (Modern),7
1348,sergey-solomko,the-enemy-conseals-himself.jpg,0,Art Nouveau (Modern),7
1349,sergey-solomko,blarney.jpg,0,Art Nouveau (Modern),7
1350,sergey-solomko,on-the-way-to-victory.jpg,0,Art Nouveau (Modern),7
1351,sergey-solomko,bookplate-of-v-i-klochkov-2.jpg,0,Art Nouveau (Modern),7
1352,sergey-solomko,the-pursuit-of-happyness.jpg,0,Art Nouveau (Modern),7
1353,sergey-solomko,ripe-fruits.jpg,0,Art Nouveau (Modern),7
1354,sergey-solomko,sketch-of-the-poster-pillory.jpg,0,Art Nouveau (Modern),7
1355,sergey-solomko,costume-designs-1.jpg,0,Art Nouveau (Modern),7
1356,sergey-solomko,zabava-putyatichna.jpg,0,Art Nouveau (Modern),7
1357,sergey-solomko,virgo-comforter.jpg,0,Art Nouveau (Modern),7
1358,sergey-solomko,date-2.jpg,0,Art Nouveau (Modern),7
1359,sergey-solomko,age-of-quietest-king-aleksey-mikhailovich.jpg,0,Art Nouveau (Modern),7
1360,sergey-solomko,age-of-blessed-memory-of-the-12th-year.jpg,0,Art Nouveau (Modern),7
1361,sergey-solomko,promise.jpg,0,Art Nouveau (Modern),7
1362,sergey-solomko,escape.jpg,0,Art Nouveau (Modern),7
1363,sergey-solomko,queen-azvyakovna.jpg,0,Art Nouveau (Modern),7
1364,sergey-solomko,caught.jpg,0,Art Nouveau (Modern),7
1365,sergey-solomko,evening-walk.jpg,0,Art Nouveau (Modern),7
1366,sergey-solomko,the-nocturne-review-1914.jpg,0,Art Nouveau (Modern),7
1367,sergey-solomko,costume-designs-3.jpg,0,Art Nouveau (Modern),7
1368,sergey-solomko,fantasy.jpg,0,Art Nouveau (Modern),7
1369,sergey-solomko,meeting-4.jpg,0,Art Nouveau (Modern),7
1370,sergey-solomko,plate-egyptian-queen.jpg,0,Art Nouveau (Modern),7
1371,sergey-solomko,song-without-words.jpg,0,Art Nouveau (Modern),7
1372,sergey-solomko,memory-1910.jpg,0,Art Nouveau (Modern),7
1373,sergey-solomko,love-talk.jpg,0,Art Nouveau (Modern),7
1374,sergey-solomko,fortune-telling.jpg,0,Art Nouveau (Modern),7
1375,sergey-solomko,visiting.jpg,0,Art Nouveau (Modern),7
1376,sergey-solomko,temptation.jpg,0,Art Nouveau (Modern),7
1377,sergey-solomko,russian-in-the-netherlands-at-the-time-of-peter-the-great.jpg,0,Art Nouveau (Modern),7
1378,sergey-solomko,dream-of-icarus.jpg,0,Art Nouveau (Modern),7
1379,sergey-solomko,seducer.jpg,0,Art Nouveau (Modern),7
